"12:05A","12:06A","12:07A","12:09A","12:15A","12:16A","12:19A","12:21A","12:23A","12:25A","12:28A","12:30A","12:33A"
"12:35A","12:36A","&gt;","12:39A","12:45A","12:46A","12:49A","12:51A","12:53A","12:55A","12:58A","1:00A","1:03A"
"1:20A","1:21A","&gt;","1:24A","1:30A","1:31A","1:34A","1:36A","1:38A","1:40A","1:43A","1:45A","1:48A"
"2:05A","2:06A","&gt;","2:09A","2:15A","2:16A","2:19A","2:21A","2:23A","2:25A","2:28A","2:30A","2:33A"
"2:50A","2:51A","&gt;","2:54A","3:00A","3:01A","3:04A","3:06A","3:08A","3:10A","3:13A","3:15A","3:18A"
"3:35A","3:36A","&gt;","3:39A","3:45A","3:46A","3:49A","3:51A","3:53A","3:55A","3:58A","4:00A","4:03A"
"4:20A","4:21A","4:22A","4:24A","4:30A","4:31A","4:34A","4:36A","4:38A","4:40A","4:43A","4:45A","4:48A"
"5:03A","5:04A","5:05A","5:07A","5:13A","5:14A","5:17A","5:19A","5:21A","5:23A","5:26A","5:28A","5:31A"
"5:32A","5:33A","5:34A","5:36A","5:42A","5:43A","5:46A","5:48A","5:50A","5:52A","5:55A","5:57A","6:00A"
"6:02A","6:03A","6:04A","6:06A","6:12A","6:13A","6:16A","6:18A","6:20A","6:22A","6:25A","6:27A","6:30A"
"6:33A","6:34A","6:35A","6:37A","6:43A","6:44A","6:47A","6:49A","6:51A","6:53A","6:56A","6:58A","7:01A"
"&gt;","&gt;","&gt;","7:10A","7:16A","7:17A","7:20A","7:22A","7:24A","7:26A","7:29A","7:31A","7:34A"
"7:12A","7:13A","7:14A","7:16A","7:22A","7:23A","7:26A","7:28A","7:30A","7:32A","7:35A","7:37A","7:40A"
"&gt;","&gt;","&gt;","7:51A","7:57A","7:58A","8:01A","8:03A","8:05A","8:07A","8:10A","8:12A","8:15A"
"7:52A","7:53A","7:54A","7:56A","8:02A","8:03A","8:06A","8:08A","8:10A","8:12A","8:15A","8:17A","8:20A"
"7:56A","7:57A","7:58A","8:00A","8:06A","8:07A","8:10A","8:12A","8:14A","8:16A","8:19A","8:21A","8:24A"
"8:36A","8:37A","8:38A","8:40A","8:46A","8:47A","8:50A","8:52A","8:54A","8:56A","8:59A","9:01A","9:04A"
"9:22A","9:23A","9:24A","9:26A","9:32A","9:33A","9:36A","9:38A","9:40A","9:42A","9:45A","9:47A","9:50A"
"9:50A","9:51A","9:52A","9:54A","10:00A","10:01A","10:04A","10:06A","10:08A","10:10A","10:13A","10:15A","10:18A"
"10:16A","10:17A","10:18A","10:20A","10:26A","10:27A","10:30A","10:32A","10:34A","10:36A","10:39A","10:41A","10:44A"
"10:42A","10:43A","10:44A","10:46A","10:52A","10:53A","10:56A","10:58A","11:00A","11:02A","11:05A","11:07A","11:10A"
"11:08A","11:09A","11:10A","11:12A","11:18A","11:19A","11:22A","11:24A","11:26A","11:28A","11:31A","11:33A","11:36A"
"11:34A","11:35A","11:36A","11:38A","11:44A","11:45A","11:48A","11:50A","11:52A","11:54A","11:57A","11:59A","12:02P"
"12:00P","12:01P","12:02P","12:04P","12:10P","12:11P","12:14P","12:16P","12:18P","12:20P","12:23P","12:25P","12:28P"
"12:26P","12:27P","12:28P","12:30P","12:36P","12:37P","12:40P","12:42P","12:44P","12:46P","12:49P","12:51P","12:54P"
"12:52P","12:53P","12:54P","12:56P","1:02P","1:03P","1:06P","1:08P","1:10P","1:12P","1:15P","1:17P","1:20P"
"1:18P","1:19P","1:20P","1:22P","1:28P","1:29P","1:32P","1:34P","1:36P","1:38P","1:41P","1:43P","1:46P"
"1:44P","1:45P","1:46P","1:48P","1:54P","1:55P","1:58P","2:00P","2:02P","2:04P","2:07P","2:09P","2:12P"
"2:10P","2:11P","2:12P","2:14P","2:20P","2:21P","2:24P","2:26P","2:28P","2:30P","2:33P","2:35P","2:38P"
"2:36P","2:37P","2:38P","2:40P","2:46P","2:47P","2:50P","2:52P","2:54P","2:56P","2:59P","3:01P","3:04P"
"&gt;","&gt;","&gt;","3:00P","3:06P","3:07P","3:10P","3:12P","3:14P","3:16P","3:19P","3:21P","3:24P"
"3:02P","3:03P","3:04P","3:06P","3:12P","3:13P","3:16P","3:18P","3:20P","3:22P","3:25P","3:27P","3:30P"
"&gt;","&gt;","&gt;","3:25P","3:31P","3:32P","3:35P","3:37P","3:39P","3:41P","3:44P","3:46P","3:49P"
"3:27P","3:28P","3:29P","3:31P","3:37P","3:38P","3:41P","3:43P","3:45P","3:47P","3:50P","3:52P","3:55P"
"&gt;","&gt;","&gt;","3:50P","3:56P","3:57P","4:00P","4:02P","4:04P","4:06P","4:09P","4:11P","4:14P"
"3:52P","3:53P","3:54P","3:56P","4:02P","4:03P","4:06P","4:08P","4:10P","4:12P","4:15P","4:17P","4:20P"
"&gt;","&gt;","&gt;","4:15P","4:21P","4:22P","4:25P","4:27P","4:29P","4:31P","4:34P","4:36P","4:39P"
"4:17P","4:18P","4:19P","4:21P","4:27P","4:28P","4:31P","4:33P","4:35P","4:37P","4:40P","4:42P","4:45P"
"&gt;","&gt;","&gt;","4:40P","4:46P","4:47P","4:50P","4:52P","4:54P","4:56P","4:59P","5:01P","5:04P"
"4:40P","4:41P","4:42P","4:44P","4:50P","4:51P","4:54P","4:56P","4:58P","5:00P","5:03P","5:05P","5:08P"
"4:46P","4:47P","4:48P","4:50P","4:56P","4:57P","5:00P","5:02P","5:04P","5:06P","5:09P","5:11P","5:14P"
"4:52P","4:53P","4:54P","4:56P","5:02P","5:03P","5:06P","5:08P","5:10P","5:12P","5:15P","5:17P","5:20P"
"4:58P","4:59P","5:00P","5:02P","5:08P","5:09P","5:12P","5:14P","5:16P","5:18P","5:21P","5:23P","5:26P"
"5:04P","5:05P","5:06P","5:08P","5:14P","5:15P","5:18P","5:20P","5:22P","5:24P","5:27P","5:29P","5:32P"
"&gt;","&gt;","&gt;","5:29P","5:35P","5:36P","5:39P","5:41P","5:43P","5:45P","5:48P","5:50P","5:53P"
"&gt;","5:30P","5:31P","5:33P","5:39P","5:40P","5:43P","5:45P","5:47P","5:49P","5:52P","5:54P","5:57P"
"5:30P","5:31P","5:32P","5:34P","5:40P","5:41P","5:44P","5:46P","5:48P","5:50P","5:53P","5:55P","5:58P"
"5:31P","5:32P","5:33P","5:35P","5:41P","5:42P","5:45P","5:47P","5:49P","5:51P","5:54P","5:56P","5:59P"
"5:35P","5:36P","5:37P","5:39P","5:45P","5:46P","5:49P","5:51P","5:53P","5:55P","5:58P","6:00P","6:03P"
"5:40P","5:41P","5:42P","5:44P","5:50P","5:51P","5:54P","5:56P","5:58P","6:00P","6:03P","6:05P","6:08P"
"&gt;","&gt;","&gt;","6:05P","6:11P","6:12P","6:15P","6:17P","6:19P","6:21P","6:24P","6:26P","6:29P"
