"12:05A","12:06A","12:07A","12:09A","12:15A","12:16A","12:19A","12:21A","12:23A","12:25A","12:28A","12:30A","12:33A"
"12:35A","12:36A","&gt;","12:39A","12:45A","12:46A","12:49A","12:51A","12:53A","12:55A","12:58A","1:00A","1:03A"
"1:20A","1:21A","&gt;","1:24A","1:30A","1:31A","1:34A","1:36A","1:38A","1:40A","1:43A","1:45A","1:48A"
"2:05A","2:06A","&gt;","2:09A","2:15A","2:16A","2:19A","2:21A","2:23A","2:25A","2:28A","2:30A","2:33A"
"2:50A","2:51A","&gt;","2:54A","3:00A","3:01A","3:04A","3:06A","3:08A","3:10A","3:13A","3:15A","3:18A"
"3:35A","3:36A","&gt;","3:39A","3:45A","3:46A","3:49A","3:51A","3:53A","3:55A","3:58A","4:00A","4:03A"
"4:20A","4:21A","4:22A","4:24A","4:30A","4:31A","4:34A","4:36A","4:38A","4:40A","4:43A","4:45A","4:48A"
"5:03A","5:04A","5:05A","5:07A","5:13A","5:14A","5:17A","5:19A","5:21A","5:23A","5:26A","5:28A","5:31A"
"5:31A","5:32A","5:33A","5:35A","5:41A","5:42A","5:45A","5:47A","5:49A","5:51A","5:54A","5:56A","5:59A"
"5:47A","5:48A","5:49A","5:51A","5:57A","5:58A","6:01A","6:03A","6:05A","6:07A","6:10A","6:12A","6:15A"
"6:01A","6:02A","6:03A","6:05A","6:11A","6:12A","6:15A","6:17A","6:19A","6:21A","6:24A","6:26A","6:29A"
"6:16A","6:17A","6:18A","6:20A","6:26A","6:27A","6:30A","6:32A","6:34A","6:36A","6:39A","6:41A","6:44A"
"6:27A","6:28A","6:29A","6:31A","6:37A","6:38A","6:41A","6:43A","6:45A","6:47A","6:50A","6:52A","6:55A"
"6:40A","6:41A","6:42A","6:44A","6:50A","6:51A","6:54A","6:56A","6:58A","7:00A","7:03A","7:05A","7:08A"
"6:51A","6:52A","6:53A","6:55A","7:01A","7:02A","7:05A","7:07A","7:09A","7:11A","7:14A","7:16A","7:19A"
"6:59A","7:00A","7:01A","7:03A","7:09A","7:10A","7:13A","7:15A","7:17A","7:19A","7:22A","7:24A","7:27A"
"7:10A","7:11A","7:12A","7:14A","7:20A","7:21A","7:24A","7:26A","7:28A","7:30A","7:33A","7:35A","7:38A"
"7:19A","7:20A","7:21A","7:23A","7:29A","7:30A","7:33A","7:35A","7:37A","7:39A","7:42A","7:44A","7:47A"
"7:34A","7:35A","7:36A","7:38A","7:44A","7:45A","7:48A","7:50A","7:52A","7:54A","7:57A","7:59A","8:02A"
"7:42A","7:43A","7:44A","7:46A","7:52A","7:53A","7:56A","7:58A","8:00A","8:02A","8:05A","8:07A","8:10A"
"7:56A","7:57A","7:58A","8:00A","8:06A","8:07A","8:10A","8:12A","8:14A","8:16A","8:19A","8:21A","8:24A"
"8:05A","8:06A","8:07A","8:09A","8:15A","8:16A","8:19A","8:21A","8:23A","8:25A","8:28A","8:30A","8:33A"
"8:21A","8:22A","8:23A","8:25A","8:31A","8:32A","8:35A","8:37A","8:39A","8:41A","8:44A","8:46A","8:49A"
"8:36A","8:37A","8:38A","8:40A","8:46A","8:47A","8:50A","8:52A","8:54A","8:56A","8:59A","9:01A","9:04A"
"8:52A","8:53A","8:54A","8:56A","9:02A","9:03A","9:06A","9:08A","9:10A","9:12A","9:15A","9:17A","9:20A"
"9:10A","9:11A","9:12A","9:14A","9:20A","9:21A","9:24A","9:26A","9:28A","9:30A","9:33A","9:35A","9:38A"
"9:22A","9:23A","9:24A","9:26A","9:32A","9:33A","9:36A","9:38A","9:40A","9:42A","9:45A","9:47A","9:50A"
"9:37A","9:38A","9:39A","9:41A","9:47A","9:48A","9:51A","9:53A","9:55A","9:57A","10:00A","10:02A","10:05A"
"9:52A","9:53A","9:54A","9:56A","10:02A","10:03A","10:06A","10:08A","10:10A","10:12A","10:15A","10:17A","10:20A"
"10:07A","10:08A","10:09A","10:11A","10:17A","10:18A","10:21A","10:23A","10:25A","10:27A","10:30A","10:32A","10:35A"
"10:22A","10:23A","10:24A","10:26A","10:32A","10:33A","10:36A","10:38A","10:40A","10:42A","10:45A","10:47A","10:50A"
"10:37A","10:38A","10:39A","10:41A","10:47A","10:48A","10:51A","10:53A","10:55A","10:57A","11:00A","11:02A","11:05A"
"10:52A","10:53A","10:54A","10:56A","11:02A","11:03A","11:06A","11:08A","11:10A","11:12A","11:15A","11:17A","11:20A"
"11:07A","11:08A","11:09A","11:11A","11:17A","11:18A","11:21A","11:23A","11:25A","11:27A","11:30A","11:32A","11:35A"
"11:22A","11:23A","11:24A","11:26A","11:32A","11:33A","11:36A","11:38A","11:40A","11:42A","11:45A","11:47A","11:50A"
"11:37A","11:38A","11:39A","11:41A","11:47A","11:48A","11:51A","11:53A","11:55A","11:57A","12:00P","12:02P","12:05P"
"11:52A","11:53A","11:54A","11:56A","12:02P","12:03P","12:06P","12:08P","12:10P","12:12P","12:15P","12:17P","12:20P"
"12:07P","12:08P","12:09P","12:11P","12:17P","12:18P","12:21P","12:23P","12:25P","12:27P","12:30P","12:32P","12:35P"
"12:22P","12:23P","12:24P","12:26P","12:32P","12:33P","12:36P","12:38P","12:40P","12:42P","12:45P","12:47P","12:50P"
"12:37P","12:38P","12:39P","12:41P","12:47P","12:48P","12:51P","12:53P","12:55P","12:57P","1:00P","1:02P","1:05P"
"12:52P","12:53P","12:54P","12:56P","1:02P","1:03P","1:06P","1:08P","1:10P","1:12P","1:15P","1:17P","1:20P"
"1:07P","1:08P","1:09P","1:11P","1:17P","1:18P","1:21P","1:23P","1:25P","1:27P","1:30P","1:32P","1:35P"
"1:22P","1:23P","1:24P","1:26P","1:32P","1:33P","1:36P","1:38P","1:40P","1:42P","1:45P","1:47P","1:50P"
"1:37P","1:38P","1:39P","1:41P","1:47P","1:48P","1:51P","1:53P","1:55P","1:57P","2:00P","2:02P","2:05P"
"1:52P","1:53P","1:54P","1:56P","2:02P","2:03P","2:06P","2:08P","2:10P","2:12P","2:15P","2:17P","2:20P"
"2:07P","2:08P","2:09P","2:11P","2:17P","2:18P","2:21P","2:23P","2:25P","2:27P","2:30P","2:32P","2:35P"
"2:22P","2:23P","2:24P","2:26P","2:32P","2:33P","2:36P","2:38P","2:40P","2:42P","2:45P","2:47P","2:50P"
"2:33P","2:34P","2:35P","2:37P","2:43P","2:44P","2:47P","2:49P","2:51P","2:53P","2:56P","2:58P","3:01P"
"2:48P","2:49P","2:50P","2:52P","2:58P","2:59P","3:02P","3:04P","3:06P","3:08P","3:11P","3:13P","3:16P"
"2:56P","2:57P","2:58P","3:00P","3:06P","3:07P","3:10P","3:12P","3:14P","3:16P","3:19P","3:21P","3:24P"
"3:08P","3:09P","3:10P","3:12P","3:18P","3:19P","3:22P","3:24P","3:26P","3:28P","3:31P","3:33P","3:36P"
