"12:05A","12:06A","12:07A","12:09A","12:14A","12:16A","12:19A","12:21A","12:23A","12:24A","12:27A","12:28A","12:31A"
"12:35A","12:36A","&gt;","12:39A","12:44A","12:46A","12:49A","12:51A","12:53A","12:54A","12:57A","12:58A","1:01A"
"1:20A","1:21A","&gt;","1:24A","1:29A","1:31A","1:34A","1:36A","1:38A","1:39A","1:42A","1:43A","1:46A"
"2:05A","2:06A","&gt;","2:09A","2:14A","2:16A","2:19A","2:21A","2:23A","2:24A","2:27A","2:28A","2:31A"
"2:50A","2:51A","&gt;","2:54A","2:59A","3:01A","3:04A","3:06A","3:08A","3:09A","3:12A","3:13A","3:16A"
"3:35A","3:36A","&gt;","3:39A","3:44A","3:46A","3:49A","3:51A","3:53A","3:54A","3:57A","3:58A","4:01A"
"4:20A","4:21A","4:22A","4:24A","4:29A","4:31A","4:34A","4:36A","4:38A","4:39A","4:42A","4:43A","4:46A"
"5:05A","5:06A","5:07A","5:09A","5:14A","5:16A","5:19A","5:21A","5:23A","5:24A","5:27A","5:28A","5:31A"
"5:35A","5:36A","5:37A","5:39A","5:44A","5:46A","5:49A","5:51A","5:53A","5:54A","5:57A","5:58A","6:01A"
"6:05A","6:06A","6:07A","6:09A","6:14A","6:16A","6:19A","6:21A","6:23A","6:24A","6:27A","6:28A","6:31A"
"6:35A","6:36A","6:37A","6:39A","6:44A","6:46A","6:49A","6:51A","6:53A","6:54A","6:57A","6:58A","7:01A"
"7:12A","7:13A","7:14A","7:16A","7:21A","7:23A","7:26A","7:28A","7:30A","7:31A","7:34A","7:35A","7:38A"
"7:32A","7:33A","7:34A","7:36A","7:41A","7:43A","7:46A","7:48A","7:50A","7:51A","7:54A","7:55A","7:58A"
"7:52A","7:53A","7:54A","7:56A","8:01A","8:03A","8:06A","8:08A","8:10A","8:11A","8:14A","8:15A","8:18A"
"8:12A","8:13A","8:14A","8:16A","8:21A","8:23A","8:26A","8:28A","8:30A","8:31A","8:34A","8:35A","8:38A"
"8:32A","8:33A","8:34A","8:36A","8:41A","8:43A","8:46A","8:48A","8:50A","8:51A","8:54A","8:55A","8:58A"
"8:52A","8:53A","8:54A","8:56A","9:01A","9:03A","9:06A","9:08A","9:10A","9:11A","9:14A","9:15A","9:18A"
"9:12A","9:13A","9:14A","9:16A","9:21A","9:23A","9:26A","9:28A","9:30A","9:31A","9:34A","9:35A","9:38A"
"9:32A","9:33A","9:34A","9:36A","9:41A","9:43A","9:46A","9:48A","9:50A","9:51A","9:54A","9:55A","9:58A"
"9:52A","9:53A","9:54A","9:56A","10:01A","10:03A","10:06A","10:08A","10:10A","10:11A","10:14A","10:15A","10:18A"
"10:12A","10:13A","10:14A","10:16A","10:21A","10:23A","10:26A","10:28A","10:30A","10:31A","10:34A","10:35A","10:38A"
"10:32A","10:33A","10:34A","10:36A","10:41A","10:43A","10:46A","10:48A","10:50A","10:51A","10:54A","10:55A","10:58A"
"10:52A","10:53A","10:54A","10:56A","11:01A","11:03A","11:06A","11:08A","11:10A","11:11A","11:14A","11:15A","11:18A"
"11:12A","11:13A","11:14A","11:16A","11:21A","11:23A","11:26A","11:28A","11:30A","11:31A","11:34A","11:35A","11:38A"
"11:32A","11:33A","11:34A","11:36A","11:41A","11:43A","11:46A","11:48A","11:50A","11:51A","11:54A","11:55A","11:58A"
"11:52A","11:53A","11:54A","11:56A","12:01P","12:03P","12:06P","12:08P","12:10P","12:11P","12:14P","12:15P","12:18P"
"12:12P","12:13P","12:14P","12:16P","12:21P","12:23P","12:26P","12:28P","12:30P","12:31P","12:34P","12:35P","12:38P"
"12:32P","12:33P","12:34P","12:36P","12:41P","12:43P","12:46P","12:48P","12:50P","12:51P","12:54P","12:55P","12:58P"
"12:52P","12:53P","12:54P","12:56P","1:01P","1:03P","1:06P","1:08P","1:10P","1:11P","1:14P","1:15P","1:18P"
"1:12P","1:13P","1:14P","1:16P","1:21P","1:23P","1:26P","1:28P","1:30P","1:31P","1:34P","1:35P","1:38P"
"1:32P","1:33P","1:34P","1:36P","1:41P","1:43P","1:46P","1:48P","1:50P","1:51P","1:54P","1:55P","1:58P"
"1:52P","1:53P","1:54P","1:56P","2:01P","2:03P","2:06P","2:08P","2:10P","2:11P","2:14P","2:15P","2:18P"
"2:12P","2:13P","2:14P","2:16P","2:21P","2:23P","2:26P","2:28P","2:30P","2:31P","2:34P","2:35P","2:38P"
"2:32P","2:33P","2:34P","2:36P","2:41P","2:43P","2:46P","2:48P","2:50P","2:51P","2:54P","2:55P","2:58P"
"2:52P","2:53P","2:54P","2:56P","3:01P","3:03P","3:06P","3:08P","3:10P","3:11P","3:14P","3:15P","3:18P"
"3:12P","3:13P","3:14P","3:16P","3:21P","3:23P","3:26P","3:28P","3:30P","3:31P","3:34P","3:35P","3:38P"
"3:32P","3:33P","3:34P","3:36P","3:41P","3:43P","3:46P","3:48P","3:50P","3:51P","3:54P","3:55P","3:58P"
"3:52P","3:53P","3:54P","3:56P","4:01P","4:03P","4:06P","4:08P","4:10P","4:11P","4:14P","4:15P","4:18P"
"4:12P","4:13P","4:14P","4:16P","4:21P","4:23P","4:26P","4:28P","4:30P","4:31P","4:34P","4:35P","4:38P"
"4:32P","4:33P","4:34P","4:36P","4:41P","4:43P","4:46P","4:48P","4:50P","4:51P","4:54P","4:55P","4:58P"
"4:52P","4:53P","4:54P","4:56P","5:01P","5:03P","5:06P","5:08P","5:10P","5:11P","5:14P","5:15P","5:18P"
"5:12P","5:13P","5:14P","5:16P","5:21P","5:23P","5:26P","5:28P","5:30P","5:31P","5:34P","5:35P","5:38P"
"5:32P","5:33P","5:34P","5:36P","5:41P","5:43P","5:46P","5:48P","5:50P","5:51P","5:54P","5:55P","5:58P"
"5:52P","5:53P","5:54P","5:56P","6:01P","6:03P","6:06P","6:08P","6:10P","6:11P","6:14P","6:15P","6:18P"
"6:12P","6:13P","6:14P","6:16P","6:21P","6:23P","6:26P","6:28P","6:30P","6:31P","6:34P","6:35P","6:38P"
"6:32P","6:33P","6:34P","6:36P","6:41P","6:43P","6:46P","6:48P","6:50P","6:51P","6:54P","6:55P","6:58P"
"6:52P","6:53P","6:54P","6:56P","7:01P","7:03P","7:06P","7:08P","7:10P","7:11P","7:14P","7:15P","7:18P"
"7:12P","7:13P","7:14P","7:16P","7:21P","7:23P","7:26P","7:28P","7:30P","7:31P","7:34P","7:35P","7:38P"
"7:32P","7:33P","7:34P","7:36P","7:41P","7:43P","7:46P","7:48P","7:50P","7:51P","7:54P","7:55P","7:58P"
"7:52P","7:53P","7:54P","7:56P","8:01P","8:03P","8:06P","8:08P","8:10P","8:11P","8:14P","8:15P","8:18P"
"8:12P","8:13P","8:14P","8:16P","8:21P","8:23P","8:26P","8:28P","8:30P","8:31P","8:34P","8:35P","8:38P"
