12:05A ,12:06A ,12:07A ,12:09A ,12:15A ,12:16A ,12:19A ,12:21A ,12:23A ,12:25A ,12:28A ,12:30A ,12:33A
12:36A ,12:37A ,,12:40A ,12:46A ,12:47A ,12:50A ,12:52A ,12:54A ,12:56A ,12:59A ,1:01A ,1:04A
1:20A ,1:21A ,,1:24A ,1:30A ,1:31A ,1:34A ,1:36A ,1:38A ,1:40A ,1:43A ,1:45A ,1:48A
2:05A ,2:06A ,,2:09A ,2:15A ,2:16A ,2:19A ,2:21A ,2:23A ,2:25A ,2:28A ,2:30A ,2:33A
2:50A ,2:51A ,,2:54A ,3:00A ,3:01A ,3:04A ,3:06A ,3:08A ,3:10A ,3:13A ,3:15A ,3:18A
3:35A ,3:36A ,,3:39A ,3:45A ,3:46A ,3:49A ,3:51A ,3:53A ,3:55A ,3:58A ,4:00A ,4:03A
4:20A ,4:21A ,4:22A ,4:24A ,4:30A ,4:31A ,4:34A ,4:36A ,4:38A ,4:40A ,4:43A ,4:45A ,4:48A
4:56A ,4:57A ,4:58A ,5:00A ,5:06A ,5:07A ,5:10A ,5:12A ,5:14A ,5:16A ,5:19A ,5:21A ,5:24A
5:25A ,5:26A ,5:27A ,5:29A ,5:35A ,5:36A ,5:39A ,5:41A ,5:43A ,5:45A ,5:48A ,5:50A ,5:53A
5:55A ,5:56A ,5:57A ,5:59A ,6:05A ,6:06A ,6:09A ,6:11A ,6:13A ,6:15A ,6:18A ,6:20A ,6:23A
6:25A ,6:26A ,6:27A ,6:29A ,6:35A ,6:36A ,6:39A ,6:41A ,6:43A ,6:45A ,6:48A ,6:50A ,6:53A
6:55A ,6:56A ,6:57A ,6:59A ,7:05A ,7:06A ,7:09A ,7:11A ,7:13A ,7:15A ,7:18A ,7:20A ,7:23A
7:25A ,7:26A ,7:27A ,7:29A ,7:35A ,7:36A ,7:39A ,7:41A ,7:43A ,7:45A ,7:48A ,7:50A ,7:53A
7:55A ,7:56A ,7:57A ,7:59A ,8:05A ,8:06A ,8:09A ,8:11A ,8:13A ,8:15A ,8:18A ,8:20A ,8:23A
8:25A ,8:26A ,8:27A ,8:29A ,8:35A ,8:36A ,8:39A ,8:41A ,8:43A ,8:45A ,8:48A ,8:50A ,8:53A
