"12:05A","12:06A","12:07A","12:09A","12:15A","12:16A","12:19A","12:21A","12:23A","12:25A","12:28A","12:30A","12:33A"
"12:35A","12:36A","&gt;","12:39A","12:45A","12:46A","12:49A","12:51A","12:53A","12:55A","12:58A","1:00A","1:03A"
"12:45A","12:46A","&gt;","12:49A","12:55A","12:56A","12:59A","1:01A","1:03A","1:05A","1:08A","1:10A","1:13A"
"1:20A","1:21A","&gt;","1:24A","1:30A","1:31A","1:34A","1:36A","1:38A","1:40A","1:43A","1:45A","1:48A"
"2:05A","2:06A","&gt;","2:09A","2:15A","2:16A","2:19A","2:21A","2:23A","2:25A","2:28A","2:30A","2:33A"
"2:50A","2:51A","&gt;","2:54A","3:00A","3:01A","3:04A","3:06A","3:08A","3:10A","3:13A","3:15A","3:18A"
"3:35A","3:36A","&gt;","3:39A","3:45A","3:46A","3:49A","3:51A","3:53A","3:55A","3:58A","4:00A","4:03A"
"4:22A","4:23A","4:24A","4:26A","4:32A","4:33A","4:36A","4:38A","4:40A","4:42A","4:45A","4:47A","4:50A"
"5:05A","5:06A","5:07A","5:09A","5:15A","5:16A","5:19A","5:21A","5:23A","5:25A","5:28A","5:30A","5:33A"
"5:35A","5:36A","5:37A","5:39A","5:45A","5:46A","5:49A","5:51A","5:53A","5:55A","5:58A","6:00A","6:03A"
"6:05A","6:06A","6:07A","6:09A","6:15A","6:16A","6:19A","6:21A","6:23A","6:25A","6:28A","6:30A","6:33A"
"6:35A","6:36A","6:37A","6:39A","6:45A","6:46A","6:49A","6:51A","6:53A","6:55A","6:58A","7:00A","7:03A"
"7:12A","7:13A","7:14A","7:16A","7:22A","7:23A","7:26A","7:28A","7:30A","7:32A","7:35A","7:37A","7:40A"
"7:32A","7:33A","7:34A","7:36A","7:42A","7:43A","7:46A","7:48A","7:50A","7:52A","7:55A","7:57A","8:00A"
"7:52A","7:53A","7:54A","7:56A","8:02A","8:03A","8:06A","8:08A","8:10A","8:12A","8:15A","8:17A","8:20A"
"8:12A","8:13A","8:14A","8:16A","8:22A","8:23A","8:26A","8:28A","8:30A","8:32A","8:35A","8:37A","8:40A"
"8:32A","8:33A","8:34A","8:36A","8:42A","8:43A","8:46A","8:48A","8:50A","8:52A","8:55A","8:57A","9:00A"
"8:52A","8:53A","8:54A","8:56A","9:02A","9:03A","9:06A","9:08A","9:10A","9:12A","9:15A","9:17A","9:20A"
"9:12A","9:13A","9:14A","9:16A","9:22A","9:23A","9:26A","9:28A","9:30A","9:32A","9:35A","9:37A","9:40A"
"9:32A","9:33A","9:34A","9:36A","9:42A","9:43A","9:46A","9:48A","9:50A","9:52A","9:55A","9:57A","10:00A"
"9:52A","9:53A","9:54A","9:56A","10:02A","10:03A","10:06A","10:08A","10:10A","10:12A","10:15A","10:17A","10:20A"
"10:12A","10:13A","10:14A","10:16A","10:22A","10:23A","10:26A","10:28A","10:30A","10:32A","10:35A","10:37A","10:40A"
"10:32A","10:33A","10:34A","10:36A","10:42A","10:43A","10:46A","10:48A","10:50A","10:52A","10:55A","10:57A","11:00A"
"10:52A","10:53A","10:54A","10:56A","11:02A","11:03A","11:06A","11:08A","11:10A","11:12A","11:15A","11:17A","11:20A"
"11:12A","11:13A","11:14A","11:16A","11:22A","11:23A","11:26A","11:28A","11:30A","11:32A","11:35A","11:37A","11:40A"
"11:32A","11:33A","11:34A","11:36A","11:42A","11:43A","11:46A","11:48A","11:50A","11:52A","11:55A","11:57A","12:00P"
"11:52A","11:53A","11:54A","11:56A","12:02P","12:03P","12:06P","12:08P","12:10P","12:12P","12:15P","12:17P","12:20P"
"12:12P","12:13P","12:14P","12:16P","12:22P","12:23P","12:26P","12:28P","12:30P","12:32P","12:35P","12:37P","12:40P"
"12:32P","12:33P","12:34P","12:36P","12:42P","12:43P","12:46P","12:48P","12:50P","12:52P","12:55P","12:57P","1:00P"
"12:52P","12:53P","12:54P","12:56P","1:02P","1:03P","1:06P","1:08P","1:10P","1:12P","1:15P","1:17P","1:20P"
"1:12P","1:13P","1:14P","1:16P","1:22P","1:23P","1:26P","1:28P","1:30P","1:32P","1:35P","1:37P","1:40P"
"1:32P","1:33P","1:34P","1:36P","1:42P","1:43P","1:46P","1:48P","1:50P","1:52P","1:55P","1:57P","2:00P"
"1:52P","1:53P","1:54P","1:56P","2:02P","2:03P","2:06P","2:08P","2:10P","2:12P","2:15P","2:17P","2:20P"
"2:12P","2:13P","2:14P","2:16P","2:22P","2:23P","2:26P","2:28P","2:30P","2:32P","2:35P","2:37P","2:40P"
"2:32P","2:33P","2:34P","2:36P","2:42P","2:43P","2:46P","2:48P","2:50P","2:52P","2:55P","2:57P","3:00P"
"2:52P","2:53P","2:54P","2:56P","3:02P","3:03P","3:06P","3:08P","3:10P","3:12P","3:15P","3:17P","3:20P"
"3:12P","3:13P","3:14P","3:16P","3:22P","3:23P","3:26P","3:28P","3:30P","3:32P","3:35P","3:37P","3:40P"
"3:32P","3:33P","3:34P","3:36P","3:42P","3:43P","3:46P","3:48P","3:50P","3:52P","3:55P","3:57P","4:00P"
"3:52P","3:53P","3:54P","3:56P","4:02P","4:03P","4:06P","4:08P","4:10P","4:12P","4:15P","4:17P","4:20P"
"4:12P","4:13P","4:14P","4:16P","4:22P","4:23P","4:26P","4:28P","4:30P","4:32P","4:35P","4:37P","4:40P"
"4:32P","4:33P","4:34P","4:36P","4:42P","4:43P","4:46P","4:48P","4:50P","4:52P","4:55P","4:57P","5:00P"
"4:52P","4:53P","4:54P","4:56P","5:02P","5:03P","5:06P","5:08P","5:10P","5:12P","5:15P","5:17P","5:20P"
"5:12P","5:13P","5:14P","5:16P","5:22P","5:23P","5:26P","5:28P","5:30P","5:32P","5:35P","5:37P","5:40P"
"5:32P","5:33P","5:34P","5:36P","5:42P","5:43P","5:46P","5:48P","5:50P","5:52P","5:55P","5:57P","6:00P"
"5:52P","5:53P","5:54P","5:56P","6:02P","6:03P","6:06P","6:08P","6:10P","6:12P","6:15P","6:17P","6:20P"
"6:12P","6:13P","6:14P","6:16P","6:22P","6:23P","6:26P","6:28P","6:30P","6:32P","6:35P","6:37P","6:40P"
"6:32P","6:33P","6:34P","6:36P","6:42P","6:43P","6:46P","6:48P","6:50P","6:52P","6:55P","6:57P","7:00P"
"6:52P","6:53P","6:54P","6:56P","7:02P","7:03P","7:06P","7:08P","7:10P","7:12P","7:15P","7:17P","7:20P"
"7:12P","7:13P","7:14P","7:16P","7:22P","7:23P","7:26P","7:28P","7:30P","7:32P","7:35P","7:37P","7:40P"
"7:32P","7:33P","7:34P","7:36P","7:42P","7:43P","7:46P","7:48P","7:50P","7:52P","7:55P","7:57P","8:00P"
"7:52P","7:53P","7:54P","7:56P","8:02P","8:03P","8:06P","8:08P","8:10P","8:12P","8:15P","8:17P","8:20P"
"8:12P","8:13P","8:14P","8:16P","8:22P","8:23P","8:26P","8:28P","8:30P","8:32P","8:35P","8:37P","8:40P"
"8:32P","8:33P","8:34P","8:36P","8:42P","8:43P","8:46P","8:48P","8:50P","8:52P","8:55P","8:57P","9:00P"
"8:52P","8:53P","8:54P","8:56P","9:02P","9:03P","9:06P","9:08P","9:10P","9:12P","9:15P","9:17P","9:20P"
"9:12P","9:13P","9:14P","9:16P","9:22P","9:23P","9:26P","9:28P","9:30P","9:32P","9:35P","9:37P","9:40P"
"9:32P","9:33P","9:34P","9:36P","9:42P","9:43P","9:46P","9:48P","9:50P","9:52P","9:55P","9:57P","10:00P"
"9:52P","9:53P","9:54P","9:56P","10:02P","10:03P","10:06P","10:08P","10:10P","10:12P","10:15P","10:17P","10:20P"
"10:12P","10:13P","10:14P","10:16P","10:22P","10:23P","10:26P","10:28P","10:30P","10:32P","10:35P","10:37P","10:40P"
"10:32P","10:33P","10:34P","10:36P","10:42P","10:43P","10:46P","10:48P","10:50P","10:52P","10:55P","10:57P","11:00P"
"10:52P","10:53P","10:54P","10:56P","11:02P","11:03P","11:06P","11:08P","11:10P","11:12P","11:15P","11:17P","11:20P"
"11:12P","11:13P","11:14P","11:16P","11:22P","11:23P","11:26P","11:28P","11:30P","11:32P","11:35P","11:37P","11:40P"
"11:32P","11:33P","11:34P","11:36P","11:42P","11:43P","11:46P","11:48P","11:50P","11:52P","11:55P","11:57P","12:00A"
"11:52P","11:53P","11:54P","11:56P","12:02A","12:03A","12:06A","12:08A","12:10A","12:12A","12:15A","12:17A","12:20A"
