"12:05A ","12:06A ","12:07A ","12:09A ","12:15A ","12:16A ","12:19A ","12:21A ","12:23A ","12:25A ","12:28A ","12:30A ","12:33A "
"12:35A ","12:36A ","——","12:39A ","12:45A ","12:46A ","12:49A ","12:51A ","12:53A ","12:55A ","12:58A ","1:00A ","1:03A "
"1:20A ","1:21A ","——","1:24A ","1:30A ","1:31A ","1:34A ","1:36A ","1:38A ","1:40A ","1:43A ","1:45A ","1:48A "
"2:05A ","2:06A ","——","2:09A ","2:15A ","2:16A ","2:19A ","2:21A ","2:23A ","2:25A ","2:28A ","2:30A ","2:33A "
"2:50A ","2:51A ","——","2:54A ","3:00A ","3:01A ","3:04A ","3:06A ","3:08A ","3:10A ","3:13A ","3:15A ","3:18A "
"3:35A ","3:36A ","——","3:39A ","3:45A ","3:46A ","3:49A ","3:51A ","3:53A ","3:55A ","3:58A ","4:00A ","4:03A "
"4:20A ","4:21A ","4:22A ","4:24A ","4:30A ","4:31A ","4:34A ","4:36A ","4:38A ","4:40A ","4:43A ","4:45A ","4:48A "
"5:05A ","5:06A ","5:07A ","5:09A ","5:15A ","5:16A ","5:19A ","5:21A ","5:23A ","5:25A ","5:28A ","5:30A ","5:33A "
"5:35A ","5:36A ","5:37A ","5:39A ","5:45A ","5:46A ","5:49A ","5:51A ","5:53A ","5:55A ","5:58A ","6:00A ","6:03A "
"6:05A ","6:06A ","6:07A ","6:09A ","6:15A ","6:16A ","6:19A ","6:21A ","6:23A ","6:25A ","6:28A ","6:30A ","6:33A "
"6:35A ","6:36A ","6:37A ","6:39A ","6:45A ","6:46A ","6:49A ","6:51A ","6:53A ","6:55A ","6:58A ","7:00A ","7:03A "
"7:05A ","7:06A ","7:07A ","7:09A ","7:15A ","7:16A ","7:19A ","7:21A ","7:23A ","7:25A ","7:28A ","7:30A ","7:33A "
"7:35A ","7:36A ","7:37A ","7:39A ","7:45A ","7:46A ","7:49A ","7:51A ","7:53A ","7:55A ","7:58A ","8:00A ","8:03A "
"8:05A ","8:06A ","8:07A ","8:09A ","8:15A ","8:16A ","8:19A ","8:21A ","8:23A ","8:25A ","8:28A ","8:30A ","8:33A "
"8:35A ","8:36A ","8:37A ","8:39A ","8:45A ","8:46A ","8:49A ","8:51A ","8:53A ","8:55A ","8:58A ","9:00A ","9:03A "
"9:05A ","9:06A ","9:07A ","9:09A ","9:15A ","9:16A ","9:19A ","9:21A ","9:23A ","9:25A ","9:28A ","9:30A ","9:33A "
"9:35A ","9:36A ","9:37A ","9:39A ","9:45A ","9:46A ","9:49A ","9:51A ","9:53A ","9:55A ","9:58A ","10:00A ","10:03A "
"10:05A ","10:06A ","10:07A ","10:09A ","10:15A ","10:16A ","10:19A ","10:21A ","10:23A ","10:25A ","10:28A ","10:30A ","10:33A "
