"12:05 A ","12:06 A ","12:07 A ","12:08 A ","12:14 A ","12:15 A ","12:18 A ","12:20 A ","12:22 A ","12:24 A ","12:27 A ","12:28 A ","12:31 A "
"12:35 A ","12:36 A ","——&gt; ","12:38 A ","12:44 A ","12:45 A ","12:48 A ","12:50 A ","12:52 A ","12:54 A ","12:57 A ","12:58 A ","1:01 A "
"1:20 A ","1:21 A ","——&gt; ","1:23 A ","1:29 A ","1:30 A ","1:33 A ","1:35 A ","1:37 A ","1:39 A ","1:42 A ","1:43 A ","1:46 A "
"2:05 A ","2:06 A ","——&gt; ","2:08 A ","2:14 A ","2:15 A ","2:18 A ","2:20 A ","2:22 A ","2:24 A ","2:27 A ","2:28 A ","2:31 A "
"2:50 A ","2:51 A ","——&gt; ","2:53 A ","2:59 A ","3:00 A ","3:03 A ","3:05 A ","3:07 A ","3:09 A ","3:12 A ","3:13 A ","3:16 A "
"3:35 A ","3:36 A ","——&gt; ","3:38 A ","3:44 A ","3:45 A ","3:48 A ","3:50 A ","3:52 A ","3:54 A ","3:57 A ","3:58 A ","4:01 A "
"4:20 A ","4:21 A ","——&gt; ","4:23 A ","4:29 A ","4:30 A ","4:33 A ","4:35 A ","4:37 A ","4:39 A ","4:42 A ","4:43 A ","4:46 A "
"5:03 A ","5:04 A ","5:05 A ","5:06 A ","5:12 A ","5:13 A ","5:16 A ","5:18 A ","5:20 A ","5:22 A ","5:25 A ","5:26 A ","5:29 A "
"5:29 A ","5:30 A ","5:31 A ","5:32 A ","5:38 A ","5:39 A ","5:42 A ","5:44 A ","5:46 A ","5:48 A ","5:51 A ","5:52 A ","5:55 A "
"5:45 A ","5:46 A ","5:47 A ","5:48 A ","5:54 A ","5:55 A ","5:58 A ","6:00 A ","6:02 A ","6:04 A ","6:07 A ","6:08 A ","6:11 A "
"5:59 A ","6:00 A ","6:01 A ","6:02 A ","6:08 A ","6:09 A ","6:12 A ","6:14 A ","6:16 A ","6:18 A ","6:21 A ","6:22 A ","6:25 A "
"6:14 A ","6:15 A ","6:16 A ","6:17 A ","6:23 A ","6:24 A ","6:27 A ","6:29 A ","6:31 A ","6:33 A ","6:36 A ","6:37 A ","6:40 A "
"6:25 A ","6:26 A ","6:27 A ","6:28 A ","6:34 A ","6:35 A ","6:38 A ","6:40 A ","6:42 A ","6:44 A ","6:47 A ","6:48 A ","6:51 A "
"6:38 A ","6:39 A ","6:40 A ","6:41 A ","6:47 A ","6:48 A ","6:51 A ","6:53 A ","6:55 A ","6:57 A ","7:00 A ","7:01 A ","7:04 A "
