service_id,date,exception_type
3,20150101,2
1,20150101,1
3,20160101,2
1,20160101,1
3,20150216,2
1,20150216,1
3,20160215,2
1,20160215,1
3,20150403,2
1,20150403,1
3,20160325,2
1,20160325,1
3,20150704,2
1,20150704,1
3,20160704,2
1,20160704,1
3,20150907,2
1,20150907,1
3,20160905,2
1,20160905,1
3,20141127,2
1,20141127,1
3,20141128,2
1,20141128,1
3,20151126,2
1,20151126,1
3,20151127,2
1,20151127,1
3,20141224,2
1,20141224,1
3,20141225,2
1,20141225,1
3,20151224,2
1,20151224,1
3,20151225,2
1,20151225,1
3,20141231,2
1,20141231,1
3,20151231,2
1,20151231,1
