end_index,y,x,dist_between
2,39.9478142,-75.161575,469.437796091
3,39.9477232,-75.1608367,63.898215985
4,39.94772,-75.1608111,2.216413526
5,39.9472339,-75.1568742,340.746300902
6,39.9469681,-75.1547578,183.258975027
7,39.9470185,-75.1545634,17.530577639
8,39.947133,-75.1544757,14.758101712
9,39.9476892,-75.1543471,62.727158461
10,39.948048,-75.154272,40.352514482
11,39.95114,-75.1535888,348.245062745
12,39.95434,-75.152672,363.842476653
13,39.954385,-75.15266,5.100653296
14,39.954534,-75.152605,17.198629688
15,39.954677,-75.15253,17.122437093
16,39.954814,-75.152436,17.202084189
17,39.954942,-75.152324,17.134256129
18,39.955061,-75.152196,17.152685601
19,39.955168,-75.152052,17.104273379
20,39.955264,-75.151894,17.201671699
21,39.955346,-75.151724,17.143908239
22,39.9554583,-75.1514973,23.03754488
23,39.9555241,-75.1512666,21.023466744
24,39.9555734,-75.150993,24.011192159
25,39.9555981,-75.1507516,20.808945573
26,39.9556145,-75.1504351,27.105884372
27,39.9556063,-75.1501186,27.059969975
28,39.9553925,-75.1484986,140.448564146
29,39.9552314,-75.14756,82.173408241
30,39.955015,-75.1463736,104.186087945
31,39.9540355,-75.1408114,487.576970649
32,39.9531349,-75.1355006,464.703030977
33,39.9519012,-75.1287629,591.827427667
34,39.9513737,-75.1258302,257.364385435
35,39.9508814,-75.1230927,240.233680999
36,39.9507786,-75.1226528,39.286389133
37,39.9506922,-75.1223685,26.120381324
38,39.9505154,-75.1218804,46.099392722
39,39.9503057,-75.121419,45.790789427
40,39.9500301,-75.1208933,54.356182768
41,39.9499026,-75.1207216,20.388880882
42,39.9496312,-75.1204695,37.04342354
43,39.9493269,-75.1202388,39.118720899
44,39.9490102,-75.1201101,36.844205614
45,39.9486113,-75.120094,44.312687433
46,39.9482206,-75.1201745,43.922925749
47,39.9451084,-75.121175,355.979832637
48,39.9445737,-75.1213219,60.682531236
49,39.9442793,-75.1213741,32.991298718
50,39.9441855,-75.1213791,10.423710556
51,39.9440764,-75.1213025,13.769525741
52,39.9437866,-75.1209368,44.857656415
53,39.9434157,-75.120456,58.176162936
54,39.9432695,-75.1202689,22.78609591
55,39.9430756,-75.1199152,37.111957458
56,39.9429564,-75.1194042,45.633964717
57,39.9429429,-75.1164595,251.672897167
58,39.9429223,-75.115333,96.303378084
59,39.9428993,-75.1151152,18.788626302
60,39.942874,-75.1149162,17.237960515
61,39.9428359,-75.1147536,14.526246206
62,39.9427866,-75.1145229,20.462548188
63,39.9427084,-75.1142815,22.383950361
64,39.9426303,-75.1140992,17.831006866
65,39.9425398,-75.1139275,17.785134132
66,39.9423671,-75.1136807,28.506301259
67,39.942256,-75.1135413,17.149750364
68,39.9419105,-75.1131604,50.313130582
69,39.9417789,-75.1130477,17.501062318
70,39.9415939,-75.1129083,23.74625952
71,39.9414705,-75.1128492,14.602926348
72,39.9412835,-75.112765,21.974986808
73,39.941088,-75.112699,22.427994501
74,39.9403476,-75.112463,84.647481044
75,39.9401543,-75.1124094,21.946231139
76,39.9381677,-75.1118568,225.578921768
77,39.9368885,-75.1114974,145.31783798
78,39.9362491,-75.1113078,72.820873437
79,39.9358767,-75.1111809,42.747805259
80,39.9356463,-75.1110844,26.878928204
81,39.935416,-75.1109932,26.732775935
82,39.9352021,-75.1108859,25.459361827
83,39.9349965,-75.1107571,25.344423749
84,39.9347826,-75.1106337,25.986849701
85,39.9344887,-75.1104173,37.510355293
86,39.9342085,-75.1102223,35.2950716
87,39.9340156,-75.1100632,25.370922219
88,39.9338453,-75.109916,22.712515918
89,39.9337016,-75.1097813,19.675926502
90,39.9335792,-75.1096494,17.658201752
91,39.9331683,-75.1092157,58.78599733
92,39.9328639,-75.1088455,46.299720168
93,39.9326313,-75.1085416,36.630399072
94,39.9324503,-75.1082734,30.486939026
95,39.9322487,-75.1079676,34.413880754
96,39.9320513,-75.1076458,35.171416873
97,39.9318538,-75.1073132,35.904862625
98,39.9316687,-75.1069859,34.714838974
99,39.9312162,-75.1061115,90.060167191
100,39.9310764,-75.1058487,27.305297661
101,39.930591,-75.104867,99.732500333
102,39.9304223,-75.1045559,32.527629784
103,39.9299451,-75.1036171,96.163276648
104,39.9297888,-75.1033059,31.762101479
105,39.9293345,-75.1024297,90.301085206
106,39.9292335,-75.1022277,20.589388308
107,39.9289373,-75.1016805,57.180429238
108,39.9286206,-75.1011334,58.512568214
109,39.92853,-75.1009724,17.047240597
110,39.9283696,-75.1007149,28.314452977
111,39.92795,-75.1000283,74.936195821
112,39.9275633,-75.0994382,66.243058506
113,39.9271849,-75.0988535,65.295658656
114,39.9262593,-75.0974641,157.064224524
115,39.9255352,-75.0963805,122.657431365
116,39.9249305,-75.0953827,108.553725108
117,39.9248153,-75.0951842,21.250069749
118,39.9246777,-75.094957,24.71166101
119,39.9241406,-75.0941328,92.308920247
120,39.9238691,-75.0936554,50.738406973
121,39.9237498,-75.0934569,21.527364456
122,39.9234712,-75.0929465,53.486348004
123,39.923218,-75.0925449,44.374476265
124,39.922849,-75.091927,66.850752037
125,39.922128,-75.090545,142.715279775
126,39.9220789,-75.0904335,10.981104175
127,39.9219775,-75.0902374,20.194481082
128,39.9217578,-75.0897305,49.729534894
129,39.921561,-75.089295,43.170173933
130,39.921319,-75.088695,57.906587718
131,39.921173,-75.088279,39.084951772
132,39.921151,-75.088216,5.914039536
