"12:00A","12:02A","12:03A","12:06A","12:08A","12:10A","12:12A","12:15A","12:16A","12:22A","&gt;","12:26A","12:28A"
"12:45A","12:47A","12:48A","12:51A","12:53A","12:55A","12:57A","1:00A","1:01A","1:07A","&gt;","1:11A","1:13A"
"1:30A","1:32A","1:33A","1:36A","1:38A","1:40A","1:42A","1:45A","1:46A","1:52A","&gt;","1:56A","1:58A"
"2:15A","2:17A","2:18A","2:21A","2:23A","2:25A","2:27A","2:30A","2:31A","2:37A","&gt;","2:41A","2:43A"
"3:00A","3:02A","3:03A","3:06A","3:08A","3:10A","3:12A","3:15A","3:16A","3:22A","&gt;","3:26A","3:28A"
"3:45A","3:47A","3:48A","3:51A","3:53A","3:55A","3:57A","4:00A","4:01A","4:07A","&gt;","4:11A","4:13A"
"4:30A","4:32A","4:33A","4:36A","4:38A","4:40A","4:42A","4:45A","4:46A","4:52A","4:55A","4:56A","4:58A"
"5:00A","5:02A","5:03A","5:06A","5:08A","5:10A","5:12A","5:15A","5:16A","5:22A","5:25A","5:26A","5:28A"
"5:15A","5:17A","5:18A","5:21A","5:23A","5:25A","5:27A","5:30A","5:31A","5:37A","5:40A","5:41A","5:43A"
"5:30A","5:32A","5:33A","5:36A","5:38A","5:40A","5:42A","5:45A","5:46A","5:52A","5:55A","5:56A","5:58A"
"5:45A","5:47A","5:48A","5:51A","5:53A","5:55A","5:57A","6:00A","6:01A","6:07A","6:10A","6:11A","6:13A"
"5:55A","5:57A","5:58A","6:01A","6:03A","6:05A","6:07A","6:10A","6:11A","6:17A","6:20A","6:21A","6:23A"
"6:08A","6:10A","6:11A","6:14A","6:16A","6:18A","6:20A","6:23A","6:24A","6:30A","6:33A","6:34A","6:36A"
"6:19A","6:21A","6:22A","6:25A","6:27A","6:29A","6:31A","6:34A","6:35A","6:41A","6:44A","6:45A","6:47A"
"6:30A","6:32A","6:33A","6:36A","6:38A","6:40A","6:42A","6:45A","6:46A","6:52A","6:55A","6:56A","6:58A"
"6:40A","6:42A","6:43A","6:46A","6:48A","6:50A","6:52A","6:55A","6:56A","7:02A","7:05A","7:06A","7:08A"
"6:49A","6:51A","6:52A","6:55A","6:57A","6:59A","7:01A","7:04A","7:05A","7:11A","7:14A","7:15A","7:17A"
"6:56A","6:58A","6:59A","7:02A","7:04A","7:06A","7:08A","7:11A","7:12A","7:18A","7:21A","7:22A","7:24A"
"7:04A","7:06A","7:07A","7:10A","7:12A","7:14A","7:16A","7:19A","7:20A","7:26A","7:29A","7:30A","7:32A"
"7:08A","7:10A","7:11A","7:14A","7:16A","7:18A","7:20A","7:23A","7:24A","7:30A","7:33A","7:34A","7:36A"
"7:12A","7:14A","7:15A","7:18A","7:20A","7:22A","7:24A","7:27A","7:28A","7:34A","7:37A","7:38A","7:40A"
"7:17A","7:19A","7:20A","7:23A","7:25A","7:27A","7:29A","7:32A","7:33A","7:39A","7:42A","7:43A","7:45A"
"7:22A","7:24A","7:25A","7:28A","7:30A","7:32A","7:34A","7:37A","7:38A","7:44A","7:47A","7:48A","7:50A"
"7:27A","7:29A","7:30A","7:33A","7:35A","7:37A","7:39A","7:42A","7:43A","7:49A","7:52A","7:53A","7:55A"
"X7:32A","7:34A","7:35A","&gt;","&gt;","&gt;","7:42A","7:45A","7:46A","7:52A","7:55A","7:56A","7:58A"
"&gt;","&gt;","W7:40A","7:43A","7:45A","7:47A","7:49A","7:52A","7:53A","7:59A","8:02A","8:03A","8:05A"
"7:40A","7:42A","7:43A","7:46A","7:48A","7:50A","7:52A","7:55A","7:56A","8:02A","8:05A","8:06A","8:08A"
"X7:48A","7:50A","7:51A","&gt;","&gt;","&gt;","7:58A","8:01A","8:02A","8:08A","8:11A","8:12A","8:14A"
"&gt;","&gt;","W7:55A","7:58A","8:00A","8:02A","8:04A","8:07A","8:08A","8:14A","8:17A","8:18A","8:20A"
"X7:56A","7:58A","7:59A","&gt;","&gt;","&gt;","8:06A","8:09A","8:10A","8:16A","8:19A","8:20A","8:22A"
"&gt;","&gt;","W8:03A","8:06A","8:08A","8:10A","8:12A","8:15A","8:16A","8:22A","8:25A","8:26A","8:28A"
"X8:04A","8:06A","8:07A","&gt;","&gt;","&gt;","8:14A","8:17A","8:18A","8:24A","8:27A","8:28A","8:30A"
